acronym_,expansion,id,text
RA,retrograde amnesia,TS-0,rats were po contextual fear conditioning and trained on a watermaze spatial memory task days or h before undergoing HPC lesion or control surgery when tested postoperatively on both tasks rats with HPC lesions exhibited RA for spatial SM at both delays but temporally graded RA for the contextual fear response in demonstrating both types of retrograde amnesia in the same animals the results parallel similar observations in human amnesics with hippocampal damage and provide compelling evidence that the nature of the task and the type of information being accessed are crucial factors in determining the pattern of VA memory loss associated with hippocampal damage the results are interpreted as consistent with our transformation hypothesis winocur et al a neuropsychologia winocur and moscovitch j int neuropsychol soc and at variance with standard consolidation theory and other theoretical models of memory
UD,universal dependencies,TS-1,"Rather , applications cast doubt on UD ""s"" current framework ."
LSC,leicester scientific corpus,TS-2,Number of words before and after removing words appearing in not greater than 10 documents in the LSC .
DC,dual connectivity,TS-3,"Only those users , whose second best link is better than at least existing links for that node , where is a configurable number , are selected for DC ( step 14 ) ."
CLI,critical limb ischemia,TS-4,patients with CLI usually have severe atherosclerotic disease and are at a high risk of limb loss as well as major adverse cardiovascular events the current article provides a description of the clinical presentation of patients with CLI and also discusses the initial evaluation of these patients including PE use of noninvasive vascular tests and other imaging modalities an overview of the general management of these patients is also provided including the identification of patients who benefit from revascularization or primary amputation principles of wound care and therapies for cardiovascular risk reduction
CT,computed tomography,TS-5,"Finally , the reconstructed CT image is refined by IE - Net via residual learning ."
LTV,longterm variability,TS-6,LTV in induced tachyarrhythmias
RNN,recurrent neural network,TS-7,"For this reason , a RNN is used to maintain a long - term state , as in ."
AP,average precision,TS-8,Average Precision ( AP ) against log size ( ) of the 1447 queries .
MRC,maximal ratio combining,TS-9,"The BER results , presented and discussed in Section IV , confirm the "" massive MIMO "" effects provided by a number of receive antennas much larger than the number of transmit antennas , even when the low - complexity MRC detector is employed ."
HCPs,health care professionals,TS-10,the prevalence of OP is rising as the population of the united states and other developed countries ages these increasing numbers of people have motivated pharmaceutical companies to develop and market several antiresorptive medications that can slow down the BL associated with OP although these are not cures for this disease they are an important first step in a vital ongoing public health effort to prevent OP in the future and to manage osteoporosis now we cannot expect to remediate the problems caused by this disease if we attend only to its skeletal implications like any other chronic disease osteoporosis has significant psychologic and social consequences from anxiety and depression to social withdrawal and isolation if these problems are left unresolved they can have a significant negative impact not only on health issues but also on overall SQ of life no quick fixes exist for the numerous ways in which osteoporosis can transform an autonomous person into a dependent and hopeless patient in part responsibility for helping this patient rests with the medical community referrals to AGA providers can improve a patients physical and emotional wellbeing physician specialists can help the patient manage comorbid conditions physical and occupational therapists can teach exercises home safety and safe movement social workers can provide a framework for coping that enables individuals to improve their interpersonal interactions and minimize AS in their lives nutritionists pharmacists nurses and other HCPs can make L1 contributions to the quality of life of people with OP and should be encouraged to do so unfortunately managed care has set policies that deprive patients with osteoporosis of the kinds of care that would be most useful to them as we have advocated for the last years a multidisciplinary approach offers patients the most positive overall way to manage OP therefore new alternatives need to be examined alternatives that provide both lowcost and highquality care in the long run patients who practice selfmanagement that is those who take responsibility for their own calcium and vitamin d NI are compliant with medications exercise and practice home safety and who have a healthy outlook can control their osteoporosis the most effective intervention for the future may be to teach individuals how to use selfmanagement strategies so that they can take charge of their osteoporosis and positively influence their quality of life
SDR,semidefine relaxation,TS-11,"In fact , with 50 profile weight coefficients ( WeSNet - HF-50 ) , WeSNet outperforms DetNet , producing the accuracy of symbol detection equivalent to SDR ."
GT,ground truth,TS-12,"For our proposed evaluation we expand the GT and HYP definition : Instead of a sequence of characters , we have a tuple of sequences of characters ."
MB,maximal biclique,TS-13,"paper_MIB_n150_edge_density_oo05-eps - converted - to paper_MB_n150_edge_density_oo05-eps - converted - to fig : app12 Runtimes of the MIB - enumerating ( left ) and MB - enumerating ( right ) algorithms on graphs where , and ."
CNN,convolutional neural network,TS-14,Table shows the results obtained by GMBF(columns GMBF ) and CNN with this fine tuning strategy ( columns CNNf15 ) .
ES,energy storage,TS-15,"Moreover , the ES systems use their 30 kW power capacity to reach a balanced per - unit energy level , as shown in ."
VAT,visceral adipose tissue,TS-16,"Despite the lower age of the subjects , the labeled volumes for SAT in the chosen scans are on average about 75 larger , while the VAT volumes are about 50 smaller than in the images of Tellus ."
RW,random walk,TS-17,"In order to contrast our results with that of a classical RW , we first show in Fig ."
GP,gaussian process,TS-18,The UAV starting from an initial position is given a budget and initializes GP with zero mean .
PS,power splitting,TS-19,Because the SC is higher for the proposed CNOMA - SWIPT - PS - OAM technique than other compared schemes which is shown in Figure 5 .
MT,machine translation,TS-20,MT systemsFor each of the three MT architectures we first trained a standard MT system ( the forward or FF system ) on the original data .
DL,deep learning,TS-21,"Thus , the DL estimator is more capable of channel estimation in nonlinear systems while the performance of the LMMSE estimator degrades more significantly when more nonlinearities are imposed on the received signal ."
PIC,preinitiation complex,TS-22,photochemical crosslinking has been widely employed to identify proteins interacting with specific CS on dna ID of bound proteins usually relies on transfer of a radiolabel from the dna to the protein by crosslinking we set out to finemap a small viral replication preinitiation complex composed of two protein dimers bound to dna the bovine papillomavirus eeori complex here we describe a simple method for generating highspecificactivity probes with a phenylazide photoactivatible crosslinking group positioned immediately adjacent to a labeled nucleotide the method is based on the selective destruction of one phosphorylated strand of a polymerase chain RP with lambda exonuclease and reconstitution of the probe with a phosphorothioatesubstituted oligonucleotide an alphapdntp and thermophilic enzymes we also developed a highresolution ingel crosslinking CA to probe defined proteindna complexes with these methods we have obtained structural information for the papillomavirus eeori PIC that would otherwise have been hard to obtain these approaches should be widely applicable to the T0 of proteindna complexes
FEM,finite element method,TS-23," ( v )  SRS at component interface can be obtain by In this example , between equipment and component interfaces is extracted from the same FEM model as shown in Fig ."
MSC,multi - layer same - resolution compressed,TS-24,"Although much more feature channels are included in the Conv1+Conv5 features , our MSC features still provide improved performance , with a DPR of 83.7 , while achieving the fast tracking speed of 68.5 FPS , which is about 26 times faster than the Conv1+Conv5 features ."
PAP,process arrival pattern,TS-25,To the best knowledge of the author there are no PAP optimized all - reduce algorithms described in the literature .
MSC,multi - layer same - resolution compressed,TS-26,and Table show the comparison of our MSC - trackers with several deep CF trackers with deep features on OTB datasets .
APs,accessory pathways,TS-27,occupational rheumatologic problems due to rapid repetitive motion are increasing in frequency in the electronics industry and are more commonly responsible for awards of workers compensation benefits if not handled correctly these problems can result in significant pain and disability for employees and heavy medical and disability costs for employers corporate health and safety personnel can play a major role in reducing this human and fiscal cost by the following measures careful DUE of patterns of injury and illness among employees will identify production areas with a high rate of problems an MI system designed to provide rapid early identification of employees with early symptoms of carpal tunnel syndrome tendinitis and muscle painspasm syndrome early treatment will produce much beth early atrial activation paraseptally in the right coronary fossa these APs were ablated by an epicardial RPA without using cardiopulmonary bypass we conclude that right anterior septal APs as defined by electrophysiological criteria can be divided into two CG on the basis of the atrial activation CS RA septal accessory pathways in the septal parahissian region and RA anterior paraseptal APs this classification is of practical importance because the latter can be ablated using an Epi RPA without the need for cardiopulmonary bypass or atriotomy
FEC,forward error correction,TS-28,The non - adaptive Video - aware FEC mechanism had an overhead between 35 and 43 .
HD,hausdorff distance,TS-29,"gives the highest DM and lowest HD values , followed by , LocalMAPSTAPLE , COLLATE , LMS7 , and ."
SVM,support vector machine,TS-30,"For instance , clustering based SVM ( CB - SVM ) work by Yang et al . ,"
