acronym_,expansion,id,text
FL,federated learning,TS-0,"In , we investigated the FL loss function minimization problem with taking into account packet errors over wireless links ."
CNN,convolutional neural network,TS-1,"Particularly , we explore four CNN architectures , AlexNet , GoogLeNet , VGG-16 , and ResNet to derive features for all images in our dataset , which are labeled as private or public ."
DE,differential evolution,TS-2,h  DE computational flowchart .
LSU,louisiana state university,TS-3,fig : comparison_efficiency_SuperMIC for LSU SuperMic data .
RNN,recurrent neural network,TS-4,"Generally , the results of the temporal RNN are much better than those of the spatial RNN ."
RF,regression function,TS-5, 1mmSuppose is the parameter that determines a specific splitting node of RF regression trees .
CNN,convolutional neural network,TS-6,"In the rest of this section , we describe our CNN encoder - decoder model for the prediction of grammar rules ."
CI,constructive interference,TS-7,The results for both slow and fast fading channels show the end complexity of the proposed CI approaches are comparable to those with the conventional approaches .
CE,context entities,TS-8,The Hierarchical Category Embedding model ( HCE model ) extends CE model to integrate the hierarchical structure of categories .
TA,threshold algorithm,TS-9,"TA - SKY proceeds by accumulating information , utilizing sequential access over the indices that enable it to stop early while guaranteeing that all skyline tuples have been identified ."
MI,mutual information,TS-10,"fig : attn_viz_incorrect centeringfigure*table*tabularclccccWord & Eng & MI & Attn - BiGRU & MTL - C & MTL - S < يسالونني > & they ask me & 1.00E-06 & 0.038055 & 0.119423 & 0.169779 < ياغالين > & you dear ( + plural ) & 9.40E-05 & 0.052512 & 0.078695 & 0.164816 < منيحاا > & beautiful ( + fem ) & 5.00E-06 & 0.031567 & 0.117903 & 0.164619 < مسساء > & evening & 4.00E-06 & 0.027612 & 0.142467 & 0.161141 < سيصادفك > & you ""ll"" meet by chance & 0.00E+00 & 0.040002 & 0.103273 & 0.153956 < بونسوار > & good evening ( French ) & 3.00E-05 & 0.044578 & 0.10257 & 0.1479 < سيصيبك > & it ""ll"" befall you & 2.00E-06 & 0.031588 & 0.097372 & 0.147765 < شلوونكم > & how are you ( + plural ) & 5.00E-06 & 0.0352 & 0.125699 & 0.146776 < امبيه > & I want it & 1.50E-05 & 0.041253 & 0.095131 & 0.14668 < ياعيون > & you , darling & 0.00E+00 & 0.032135 & 0.123004 & 0.142256 < ياصدفه > & what a surprise & 1.00E-06 & 0.025398 & 0.124698 & 0.142011 < انزيين > & we beautify & 1.00E-06 & 0.025684 & 0.096841 & 0.141639 < صبحهم > & good morning & 0.00E+00 & 0.03443 & 0.118689 & 0.139647 < ياسااتر > & God protect & 0.00E+00 & 0.036266 & 0.104663 & 0.138652 < سابتسم > & I ""ll"" smile & 1.00E-06 & 0.029951 & 0.097428 & 0.138609 < تقييمكم > & what ""s"" your evaluation & 2.00E-06 & 0.034339 & 0.091574 & 0.137949 < مسلخير > & good evening & 7.00E-06 & 0.036409 & 0.114726 & 0.137911 < االخيرر > & good ( morning / evening ) & 0.000141 & 0.058663 & 0.094799 & 0.137106 < ليلهه > & night & 9.00E-06 & 0.026944 & 0.104899 & 0.136817 < نبئ > & we want & 0.00E+00 & 0.036886 & 0.098703 & 0.136785 tabularTop 20 most highly weighted words based on average attention weights from our MTL - spec - attn ( MTL - S ) network for gender ."
DCP,deep context prediction,TS-11,"CNN based methods perform best in many complex scenes however , our proposed method DCP is unsupervised therefore it do not require any labelled data for training purposes ."
CNN,convolutional neural network,TS-12,"In this way , optimizing is equivalent to minimizing the classification and localization error in the original Faster R - CNN : Due to the fact that only the centers of individuals """" heads are provided as the annotation on crowd density estimation datasets , we manually label the bounding boxes on partial of the training set points ."
DCNN,deep convolutional neural network,TS-13,The network is a Deep Convolutional Neural Network ( DCNN ) .
DL,dogleg,TS-14,GN and DL are both considered risky due to the large step size and are often avoided .
AN,artificial noise,TS-15,"When the number of transmit antennas exceeds 16 , the dimension of the beamforming vectors is already high enough to concentrate the confidential signal on the corresponding desired user as well as concentrate the AN on eavesdroppers ."
CNN,convolutional neural network,TS-16,Architecture of our context - adaptive neural network ( CA - CNN ) with spectral summary statistics as auxiliary features .
FP,fixed point,TS-17,"This might be because FP scheme identifies the global minimum for kl - KL based bound minimization problem , whereas CCP converges to a local solution or a stationary point . """""
MGE,minimum generation error,TS-18,"Compared to the DNN system without MGE training , MGE - DNN reduces MCD and RMSE from 4.19 dB and 9.13 Hz to 4.12 dB and 8.93 Hz , respectively ."
MPC,model predictive control,TS-19,"Those in the first category like , formulate the underlying optimization of the MPC as a rigorous non - linear programming problem and then use iterative techniques like sequential convex programming for the solution ."
LM,levenberg macquardt,TS-20,LM is a favourite of the BA community for its safe handling despite its slowness .
RL,reinforcement learning,TS-21,"All agents can then operate in parallel , allowing one to exploit a number of already available RL techniques for parallel learning that explore the use of shared experience between agents ."
DL,deep learning,TS-22,"For the DL estimator built on ReLU DNN , in weight1 asymptotically approaches to in lmmse5 as gets large and we have ."
AI,artificial intelligence,TS-23,"The combined new AI system can in turn be augmented by another corrector , leading to a cascade of AI correctors ."
TSP,triad significance profile,TS-24,"Therefore , TSP - Filtering is a combined algorithm of TriadCensus algorithm and TSP algorithm ."
MPB,matrix pair beamformer,TS-25," operating curve  The normalized output SINR of MPB with matrix mismatch is where and are the normalized output SINR when and ( dB ) , respectively ."
RPG,relevance proximity graph,TS-26,"For all datasets , these plots show that the proposed RPG method outperforms all baselines by a large margin in the high - recall regions ."
MDS,minimum dominating set,TS-27,We shall reduce the Grid - Dominating - Set problem to the MDS problem on unit -- VPG graphs .
CT,constraint theory,TS-28,"To be more precise , assume that CT defines only the = symbol , interpreted as pattern matching , which can not be used in the body of rules ( it can be used in the guards only ) ."
PC,program counter,TS-29,"As shown in Table , a general propagation rule for any operation ( O ) should be able to decide that what the tag on the program counter in the next machine state ( ) and the tag on the instruction ’s result ( R ) should be if the current tag on the program counter is PC , the tag on the current instruction is CI , the tags on its input operands ( if any ) are OP1 and OP2 , and the tag on the memory location ( in case of load / store ) is MR ."
OCM,oz computation model,TS-30,Lazy execution and failed values are two other OCM constructs important to services orchestration .
TCR,transductive cascaded regression,TS-31,We call the full pipeline as Transductive Cascaded Regression ( TCR ) .
IP,intellectual property,TS-32,"Then describing the holes in those obfuscation methodsBackground Hardware ObfuscationThe objective of the hardware obfuscation is twofold - a ) concealing the design secret , such as the algorithm and implementation , against reverse engineering and b ) making the design unusable as a blackbox and unintelligible for IP piracy ."
