acronym_,expansion,id,text,fullyExpandedText
RA,retrograde amnesia,TS-0,rats were po contextual fear conditioning and trained on a watermaze spatial memory task days or h before undergoing HPC lesion or control surgery when tested postoperatively on both tasks rats with HPC lesions exhibited RA for spatial SM at both delays but temporally graded RA for the contextual fear response in demonstrating both types of retrograde amnesia in the same animals the results parallel similar observations in human amnesics with hippocampal damage and provide compelling evidence that the nature of the task and the type of information being accessed are crucial factors in determining the pattern of VA memory loss associated with hippocampal damage the results are interpreted as consistent with our transformation hypothesis winocur et al a neuropsychologia winocur and moscovitch j int neuropsychol soc and at variance with standard consolidation theory and other theoretical models of memory,"rats were po contextual fear conditioning and trained on a watermaze spatial memory task days or h before undergoing High Performance Computing(['type of extremely powerful computer'], High Performance Computing has the following properties: ['is an instance of class of computers', 'has use high-performance computing']) lesion or control surgery when tested postoperatively on both tasks rats with High Performance Computing(['type of extremely powerful computer'], High Performance Computing has the following properties: ['is an instance of class of computers', 'has use high-performance computing']) lesions exhibited Random Access(['term']) for spatial Scalar Multiplication(['binary operation; one of the basic operations defining a vector space'], Scalar Multiplication has the following properties: ['is an instance of multiplication']) at both delays but temporally graded Random Access(ERROR while looking up semantic expansion) for the contextual fear response in demonstrating both types of retrograde amnesia in the same animals the results parallel similar observations in human amnesics with hippocampal damage and provide compelling evidence that the nature of the task and the type of information being accessed are crucial factors in determining the pattern of Vessel Area(No additional information found for Vessel Area) memory loss associated with hippocampal damage the results are interpreted as consistent with our transformation hypothesis winocur et al a neuropsychologia winocur and moscovitch j int neuropsychol soc and at variance with standard consolidation theory and other theoretical models of memory"
UD,universal dependencies,TS-1,"Rather , applications cast doubt on UD ""s"" current framework .","Rather , applications cast doubt on Universal Dependencies(['international linguistics project'], Universal Dependencies has the following properties: ['is an instance of plan', 'has use natural language processing']) ""s"" current framework ."
LSC,leicester scientific corpus,TS-2,Number of words before and after removing words appearing in not greater than 10 documents in the LSC .,Number of words before and after removing words appearing in not greater than 10 documents in the Leicester Scientific Corpus(No additional information found for Leicester Scientific Corpus) .
DC,dual connectivity,TS-3,"Only those users , whose second best link is better than at least existing links for that node , where is a configurable number , are selected for DC ( step 14 ) .","Only those users , whose second best link is better than at least existing links for that node , where is a configurable number , are selected for Distributed Control([], Distributed Control has the following properties: ['is an instance of scholarly article']) ( step 14 ) ."
CLI,critical limb ischemia,TS-4,patients with CLI usually have severe atherosclerotic disease and are at a high risk of limb loss as well as major adverse cardiovascular events the current article provides a description of the clinical presentation of patients with CLI and also discusses the initial evaluation of these patients including PE use of noninvasive vascular tests and other imaging modalities an overview of the general management of these patients is also provided including the identification of patients who benefit from revascularization or primary amputation principles of wound care and therapies for cardiovascular risk reduction,patients with Critical Limb Ischaemia(['severe form of peripheral artery disease']) usually have severe atherosclerotic disease and are at a high risk of limb loss as well as major adverse cardiovascular events the current article provides a description of the clinical presentation of patients with Command Line Interface(ERROR while looking up semantic expansion) and also discusses the initial evaluation of these patients including Processing Element(No additional information found for Processing Element) use of noninvasive vascular tests and other imaging modalities an overview of the general management of these patients is also provided including the identification of patients who benefit from revascularization or primary amputation principles of wound care and therapies for cardiovascular risk reduction
CT,computed tomography,TS-5,"Finally , the reconstructed CT image is refined by IE - Net via residual learning .","Finally , the reconstructed Computed Tomography(['medical imaging procedure using X-rays to produce cross-sectional images'], Computed Tomography has the following properties: ['is an instance of medical test type']) image is refined by Information Extraction(ERROR while looking up semantic expansion) - Net via residual learning ."
LTV,longterm variability,TS-6,LTV in induced tachyarrhythmias,Longterm Variability(No additional information found for Longterm Variability) in induced tachyarrhythmias
RNN,recurrent neural network,TS-7,"For this reason , a RNN is used to maintain a long - term state , as in .","For this reason , a Recurrent Neural Network(['class of artificial neural network where connections between units form a directed graph along a temporal sequence'], Recurrent Neural Network has the following properties: ['is different from recursive neural network']) is used to maintain a long - term state , as in ."
AP,average precision,TS-8,Average Precision ( AP ) against log size ( ) of the 1447 queries .,Average Precision ( Average Precision(No additional information found for Average Precision) ) against log size ( ) of the 1447 queries .
MRC,maximal ratio combining,TS-9,"The BER results , presented and discussed in Section IV , confirm the "" massive MIMO "" effects provided by a number of receive antennas much larger than the number of transmit antennas , even when the low - complexity MRC detector is employed .","The Base Excision Repair(['In base excision repair, an altered base is removed by a DNA glycosylase enzyme, followed by excision of the resulting sugar phosphate. The small gap left in the DNA helix is filled in by the sequential action of DNA polymerase and DNA ligase.'], Base Excision Repair has the following properties: ['is an instance of biological process']) results , presented and discussed in Section Initialization Vector(['fixed-size input to a cryptographic primitive that is typically required to be random or pseudorandom']) , confirm the "" massive NO EXPANSION FOUND(No additional information found for NO EXPANSION FOUND) "" effects provided by a number of receive antennas much larger than the number of transmit antennas , even when the low - complexity Machine Reading Comprehension(No additional information found for Machine Reading Comprehension) detector is employed ."
