acronym_,expansion,id,text
GP,geometric programming,EXT,"Therefore , the power allocation Problem is a standard GP ( convex problem ) , where the objective function and constraints are monomial and polynomials , which completes the proof of Proposition 1 ."
FN,facial nucleus,EXT,murine typhus is a fleaborne disease of worldwide distribution caused by rickettsia typhi although treatment with tetracycline antibiotics is effective treatment is often misguided or delayed due to diagnostic difficulties as the gold standard immunofluorescence CA is imperfect we aimed to develop and evaluate a LAMP lamp assay lamp assays have the potential to fulfill the who assured criteria affordable sensitive TPS user friendly robust and rapid equipment free deliverable to those who need them for diagnostic methodologies as they can detect pathogenderived nucleic acid with low technical expenditure the lamp CA was developed using samples of bacterial isolates n buffy coat specimens from r typhi pcrpositive lao patients n and diverse negative controls n the method was then evaluated prospectively using consecutive patients with suspected scrub typhus or mu typhus n the limit of detection was â\x88¼ dna copieslamp reaction with an analytical sensitivity of dna copiesreaction based on isolate dilutions despite these low cutoffs the clinical sensitivity was disappointing with confidence interval ci to specificity ci to in the developmental phase and ci to specificity ci to in the prospective T0 this low diagnostic accuracy was attributed to low patient r typhi bacterial loads median dna copiesml blood IQ r able to colonize the central NS cns at CS of damage this ability makes bmdcs an ideal cellular vehicle for transferring therapeutic genesmolecules to the cns however conditioning is required for bone marrowderived myeloid cells to engraft in the brain which so far has been achieved by TB irradiation tbi and by chemotherapy eg BU treatment unfortunately both regimens massively disturb the hosts hematopoietic compartment here we established a conditioning protocol to target myeloid cells to CS of BB damage in mice using nonmyeloablative focal head irradiation hi this treatment was associated with comparatively low inflammatory responses in the cns despite CRT doses which are identical to tbi as revealed by gene expression analysis of cytokineschemokines such as ccl cxcl tnfÎ± and ccl hi prior to bone marrow transplantation resulted in much lower levels of blood chimerism defined as the percentage of donorderived cells in peripheral blood compared with tbi or busulfan treatment nevertheless hi effectively recruited myeloid cells to the area of motoneuron degeneration in the brainstem within days T3 facial nerve axotomy in contrast no donorderived cells were detected in the lesioned FN of busulfantreated animals up to weeks after transplantation our findings suggest that myeloid cells can be targeted to CS of BB damage even in the presence of very low C2 of IP blood chimerism we established a novel nonmyeloablative conditioning protocol with minimal disturbance of the hosts hematopoietic system for targeting bmdcs specifically to areas of pathology in the brain
TS,tree structures,EXT,"Since the DisSim framework that we propose is aimed at serving downstream semantic applications , we measure if an improvement in the performance of NLP tools is achieved when using our TS approach as a preprocessing step ."
DL,deep learning,EXT,"Therefore , the gap between the MSEs of the LMMSE estimator with inaccurate channel statistics and the DL estimator with mismatched training data is not significant in Fig . ("
AP,average precision,EXT, t0.49 AUC  t0.49 AP Boxplots for AUC and AP scores on 23 real datasets .
RNN,recurrent neural network,EXT,"With each step , the RNN produces an output that serves as the model ""s"" prediction ."
OCR,optical character recognition,EXT,An individual OCR text article has at least one or more of the following types of spelling errors : 1 ) Real word errors include words that are spelled correctly in the OCR text but still incorrect when compared to the original newspaper article image .
NF1,neurofibromin,EXT,tyrosinaserelated protein trpdopachrome tautomerase is an enzyme involved in melanin biosynthesis and plays an important role in cytoprotection by preventing the production of a toxic melanin F0 dihydroxyindole NF1 is the protein product of a gene linked to neurofibromatosis type nf which is characterized by multiple neurofibromas and CA in skin pigmentation to explore the pathogenesis of nf we studied the role of NF1 in the regulation of trp mRNA by means of transient cotransfection assays we show that the expression of a reporter gene under the control of the trp gene promoter was increased by a neurofibromindependent signal through the bp region positions to a lystoglu substitution at position in NF1 abrogated this activating CF a dominant negative kiras inhibitor mimics neurofibromins function and additively increases trp promoter activity when coexpressed with NF1 therefore we suggest that neurofibromin is involved in the regulation of trp mRNA moreover we found a single case of a glioblastoma multiforme that expresses trp mrna but not tyr mrna suggesting that trp may CF in human neural tissues under certain conditions
SDP,shortest dependency path,EXT,"As illustrated in Figure , the word """" bind """" in SDP carries important information to predict the interaction between the protein pair ."
OT,optimal transport,EXT,"In practice , we introduce a bias fix to the original OT distance in Eqn . ( ) ,"
MSR,minimum storage regenerating,EXT,"Moreover , they introduced a general framework for constructing -MSR codes , which involves combining an existing MSR code with another linear code of large distance ."
MS,maternal separation,EXT,in rats neonatal methamphetamine ma SE and MS AS increase corticosterone during treatment and result in learning and memory impairments later in life earlylife stress also changes later responses to acute stress we tested the hypothesis that neonatal ma exposure would alter AD corticosterone T3 acute stress or ma challenge rats were treated with ma mgkg Ã\x97 day saline or handling on PN p days or days that lead to learning and memory impairments at this dose as adults corticosterone was measured before and after min forced swim fs or min forced confinement fc counterbalanced and T3 an acute ma challenge mgkg given last fs increased corticosterone more than fc order and stress type interacted but did not interact with treatment treatment interacted with fs but not with fc in the p regimen matreated rats showed more rapid increases in corticosterone T3 fs than controls in the p regimen matreated rats showed a trend toward more rapid decrease in corticosterone after fs no differences were found T3 ma challenge the data do not support the hypothesis that neonatal ma causes changes in AD stress responsiveness to fs fc or an acute ma challenge
NE,neuroendocrine,EXT,salivary gland small cell carcinoma sgsmcc is extremely rare accounting for less than of SSG PT a yearold female patient came to the OP clinic due to a mass localized in the left submandibular space and that had been growing since months the fine needle aspiration cytology fnac matched with small cell carcinoma smcc as no other focus was detected by computerized tomography ct it was accepted as a primary neoplasm of the PG the histopathological assessment of the excised material and immunohistochemical IF demonstrated a NE differentiation of smcc no recurrence was observed during the month followup period we believe this to be the second case of smcc with NE differantiation of the parotid glands reported in turkÄ±sh medical literature and will be added to the english database as one of the favorable smcc cases
CAD,cadaveric,EXT,a biomechanical T0 using multidirectional flexibility testing in a human CAD C2 spine MM of a flexiondistraction injury
CC,cover complexity,EXT,The numerical results verify that the expected error of trained networks scaled with the square root of the number of classes has a linear relationship with respect to the CC .
SA,simulated annealing,EXT,"We also found that simulated annealing ""s"" contributions in hybrid approaches increased in comparison to SA for graph G3 ."
DCM,discontinuous conduction mode,EXT,Numerical state - space average - value modeling of PWM DC - DC converters operating in DCM and CCM .
ESWT,extracorporeal shockwave therapy,EXT,ESWT eswt is recommended as an alternative treatment for lateral epicondylitis le an influence on the blood perfusion is considered to be one possible effect IRT is used in this trial to measure effects of eswt on the thermal regulation in the target area
WM,white men,EXT,prostate CA is the fourth most common cancer in men worldwide and the most common CA in men in the united states with reported incidence rates for us blacks being the highest in the world the etiology of prostate CA and an explanation for the racial disparity in incidence in the united states remain elusive epidemiologic studies suggest that selenium an essential trace element may protect against the disease to further explore this hypothesis we measured serum Se in cases and controls participating in a multicenter populationbased casecontrol T0 that included comparable numbers of us black and WM aged years serum Se was inversely associated with risk of prostate CA comparing highest to lowest quartiles or ci p for trend with similar patterns seen in both blacks and whites cubic regression spline analysis of continuous SS Se indicated a reduced risk of prostate cancer above concentrations of microgml median among controls compared to a reference value set at the median of the lowest Se quartile because both the selenoenzyme gpx and VE can CF as antioxidants we also explored their joint effect consistent with other studies the inverse association with Se was strongest among men with low serum alphatocopherol concentrations in conclusion our results suggest a moderately reduced risk of prostate CA at higher serum selenium concentrations a finding that can now be extended to include us blacks since selenium exposure varies widely throughout the world further research on optimal concentrations for CA prevention is justified
EM,expectation maximization,EXT,Similarly for RNN - EM we use a recurrent neural network with 250 sigmoidal hidden units and an equivalent output layer .
PCA,principal component analysis,EXT,"In the two methods TD and PCA for data reduction , the data scaling could not be applied for all methods ."
HOG,histogram of oriented gradient,EXT,Sample postures and the plot of the corresponding HOG features are shown in Figure .
SC,standard care,EXT,to examine whether video consultations preceded by measurements of blood glucose weight and blood pressure as addon to SC could contribute to achieving and maintaining good diabetes control among patients with poorly regulated type diabetes td
MACS,mean average conceptual similarity,EXT,The conceptual similarity between any two given terms and is computed by taking the average of number of edges in the shortest - path between and and the number of edges in the shortest - path between and ( and hence the term average in MACS ) .
RL,reinforcement learning,EXT,"error channelsAs a first simple task , we consider two straightforward scenarios with known good solutions as they will nonetheless be crucial in the evaluation of the behavior of the RL agent ."
ESE,entity set expansion,EXT,ESE performance ( ) .
MSE,mean squared error,EXT,"However , it often does not correlate with human perception , for instance , two images can have the exact same MSE while one is blurry and the other one is sharp ."
